Career,Interest Areas,Required Education,Required Skills,Related Roles,Popular Courses,Salary_HighSchool,Salary_Diploma,Salary_Bachelors,Salary_Masters,Salary_PhD,Image
Business Analyst,Business;Critical Thinking;Strategy,Bachelor in STEM or Commerce,Excel;SQL;Power BI,Product Manager | Data Analyst,Business Analysis by Coursera;Excel to MySQL,260000,420000,800000,950000,1100000,https://cdn-icons-png.flaticon.com/512/9612/9612190.png
Product Manager,Leadership;Innovation;Strategy,Any Degree + MBA Preferred,Leadership;Agile;Roadmapping,Scrum Master | PMO Manager,Product Management by Duke;Agile PM by UVA,300000,450000,900000,1500000,1700000,https://cdn-icons-png.flaticon.com/512/3135/3135792.png
Cybersecurity Analyst,Security;Forensics;Systems,Bachelor in CS or IT,Network Security;Linux;Python,Security Engineer | SOC Analyst,IBM Cybersecurity Analyst;Google Cybersecurity Certificate,280000,450000,950000,1100000,1250000,https://cdn-icons-png.flaticon.com/512/9569/9569370.png
QA / Test Engineer,Testing;Detail-Oriented;Automation,Any Degree,Test Automation;Selenium;Python,Automation Engineer | QA Lead,Selenium WebDriver Training;Test Automation Bootcamp,240000,370000,700000,850000,950000,https://cdn-icons-png.flaticon.com/512/1995/1995532.png
UI/UX Designer,Design;Psychology;User Experience,Any Degree,Figma;Design Thinking;Prototyping,Graphic Designer | Product Designer,Google UX Design;UI/UX Bootcamp,260000,400000,850000,1000000,1100000,https://cdn-icons-png.flaticon.com/512/2344/2344522.png
Graphic Designer,Visual Art;Creativity;Branding,Any Degree,Photoshop;Illustrator;Creativity,UI/UX Designer | Visual Designer,Graphic Design Masterclass;Canva Design School,220000,350000,650000,750000,850000,https://cdn-icons-png.flaticon.com/512/1055/1055644.png
Mobile App Developer,Apps;Creativity;Mobile UX,Bachelor in STEM,Flutter;Dart;Java/Kotlin,Android Developer | iOS Developer,Flutter Dev Bootcamp;Android Basics by Google,280000,460000,900000,1050000,1150000,https://cdn-icons-png.flaticon.com/512/888/888879.png
Cloud Engineer,Cloud Infra;Ops;Automation,Bachelor in STEM,AWS;Linux;Network,CICD Engineer | DevOps Engineer,Google Cloud Engineer;AWS Solutions Architect,310000,500000,1000000,1200000,1350000,https://cdn-icons-png.flaticon.com/512/4248/4248554.png
Data Engineer,Data Infra;Pipelines;ETL,Bachelor in STEM,Python;ETL;SQL;Spark,Database Architect | Data Architect,Data Engineering by Coursera;ETL Testing by Udemy,330000,520000,1100000,1300000,1450000,https://cdn-icons-png.flaticon.com/512/1055/1055661.png
Database Administrator,Systems;Data;Performance,Bachelor in CS,SQL;DBMS;Performance Tuning,Data Architect | DBA Lead,Oracle DBA by Udemy;SQL Server DBA,290000,470000,950000,1100000,1250000,https://cdn-icons-png.flaticon.com/512/2875/2875433.png
IT Support Specialist,Troubleshooting;Customer Support,Any Degree,Helpdesk;Troubleshooting;Windows,Network Admin | IT Technician,CompTIA A+;IT Support by Google,200000,350000,500000,600000,700000,https://cdn-icons-png.flaticon.com/512/3687/3687412.png
Security Engineer,Ethical Hacking;Security;Forensics,Bachelor in CS or IT,Security Protocols;Pen Testing,DevSecOps Engineer | Compliance Engineer,Security Automation by Coursera;PenTest+,310000,500000,1000000,1150000,1300000,https://cdn-icons-png.flaticon.com/512/1055/1055674.png
